Imatest,3.7, Image Sensor, Stepchart
File,DSC01041.ARW
Run date,01-Dec-2022 20:30:45

Zones,21

Log exposure and analysis levels (Luminance (Y) channel for color images)
Zone,Pixel,Pixel/255,Log(exp),Log(px/255),Lux (patch)
20,  1.950, -0.128, -0.129, -0.256, -0.260

Noise normalized to a 1.5 density range
Zone,Y-noise,R-noise,G-noise,B-noise,Y-fstopN,R-fstopN,G-fstopN,B-fstrop
 1,  5.936,  3.909,  6.716,  6.786,  0.1080,  0.0711,  0.1221,  0.1234
 2,  5.641,  3.562,  6.681,  6.702,  0.0959,  0.0605,  0.1136,  0.1139
 3,  4.889,  3.233,  5.701,  5.774,  0.0997,  0.0659,  0.1162,  0.1177
 4,  4.500,  2.687,  4.737,  4.782,  0.1238,  0.0739,  0.1303,  0.1316
 5,  3.611,  2.446,  4.180,  4.052,  0.1215,  0.0823,  0.1407,  0.1363
 6,  3.266,  2.157,  3.697,  3.787,  0.1362,  0.0900,  0.1542,  0.1580
 7,  2.841,  1.836,  3.149,  3.235,  0.1493,  0.0965,  0.1655,  0.1701
 8,  2.589,  1.681,  2.847,  2.942,  0.1778,  0.1154,  0.1955,  0.2021
 9,  2.007,  1.489,  2.470,  2.496,  0.1661,  0.1232,  0.2044,  0.2065
10,  1.916,  1.351,  2.350,  2.359,  0.2778,  0.1959,  0.3407,  0.3420
11,  1.750,  1.236,  2.156,  2.057,  0.2638,  0.1863,  0.3249,  0.3101
12,  1.541,  1.062,  1.858,  1.924,  0.2554,  0.1761,  0.3080,  0.3189
13,  1.338,  0.985,  1.572,  1.617,  0.3054,  0.2248,  0.3588,  0.3691
14,  1.259,  0.842,  1.436,  1.443,  0.4470,  0.2990,  0.5099,  0.5124
15,  1.191,  0.814,  1.437,  1.408,  0.5628,  0.3849,  0.6792,  0.6654
16,  1.154,  0.757,  1.339,  1.367,  0.4755,  0.3120,  0.5520,  0.5635
17,  1.024,  0.702,  1.246,  1.269,  0.7917,  0.5428,  0.9637,  0.9813
18,  1.233,  0.775,  1.531,  1.514,35410028179217956.0000,22265046153111024.0000,43971015982108120.0000,43481720168220360.0000
19,  1.457,  0.868,  1.782,  1.834,41851882768620184.0000,24937234482268908.0000,51192580746626640.0000,52672205558941264.0000
20,  1.726,  0.937,  2.009,  2.016,49565870395023920.0000,26901882052572072.0000,57695998492752712.0000,57892244194126392.0000
21,  1.872,  1.072,  2.320,  2.216,53753964818020912.0000,30777940629276176.0000,66638318817192536.0000,63635445191530448.0000

S/N (signal/noise) and SNR(dB) (20*log10(signal/noise)) for each patch
Zone,Y-S/N,R-S/N,G-S/N,B-S/N,Y-SNR(dB),R-SNR(dB),G-SNR(dB),B-SNR(dB),Lux (patch)
 1,  22.139,  33.625,  19.568,  19.367, 26.903, 30.533, 25.831, 25.741
 2,  20.060,  31.770,  16.938,  16.883, 26.047, 30.040, 24.577, 24.549
 3,  18.888,  28.559,  16.196,  15.992, 25.524, 29.115, 24.188, 24.078
 4,  17.905,  29.981,  17.009,  16.848, 25.059, 29.537, 24.613, 24.531
 5,  18.884,  27.876,  16.311,  16.830, 25.522, 28.905, 24.250, 24.521
 6,  18.621,  28.202,  16.450,  16.059, 25.400, 29.006, 24.323, 24.115
 7,  18.396,  28.468,  16.597,  16.152, 25.294, 29.087, 24.400, 24.165
 8,  18.609,  28.668,  16.921,  16.375, 25.395, 29.148, 24.569, 24.283
 9,  21.213,  28.606,  17.240,  17.062, 26.532, 29.129, 24.731, 24.641
10,  20.952,  29.712,  17.082,  17.017, 26.425, 29.459, 24.651, 24.618
11,  21.712,  30.745,  17.628,  18.474, 26.734, 29.755, 24.924, 25.331
12,  23.199,  33.641,  19.241,  18.579, 27.309, 30.537, 25.685, 25.380
13,  25.402,  34.509,  21.617,  21.015, 28.097, 30.759, 26.696, 26.450
14,  26.075,  38.980,  22.863,  22.751, 28.324, 31.817, 27.183, 27.140
15,  26.978,  39.441,  22.352,  22.816, 28.620, 31.919, 26.986, 27.165
16,  27.240,  41.515,  23.462,  22.983, 28.704, 32.364, 27.407, 27.228
17,  29.791,  43.457,  24.476,  24.036, 29.482, 32.761, 27.775, 27.617
18,  24.792,  39.430,  19.965,  20.190, 27.886, 31.916, 26.006, 26.103
19,  21.338,  35.811,  17.444,  16.954, 26.583, 31.080, 24.833, 24.586
20,  18.586,  34.245,  15.967,  15.913, 25.384, 30.692, 24.065, 24.035
21,  17.620,  30.773,  14.213,  14.884, 24.920, 29.763, 23.054, 23.454

SNR_BW (dB; RGBY), 35.5, 30.9, 30.6, 31.7,White-Black SNR (W-B density difference = 1.5), 20*log10((W-B)/(mid level noise))
Noise max f-stops,Quality,DR (f-stops)
,Total,6.64
,Distinct steps,6.64
1,Low,5.32
0.5,Medium,4.47
0.25,M-H,2.91
0.1,High,0.669

Gamma, 0.595,1/1.68
Exposure error (f-stops),-8.36
Density step, 0.1
ROI WxH pixels,2144,1424
Avg. noise (zones 2-15) RGBY %,  1.81,  3.16,  3.18,  2.74
Detected zones<0.98,20

Frequency (C/P),Noise power
  0.036,  1.000
  0.071,  0.910
  0.107,  0.794
  0.143,  0.724
  0.179,  0.862
  0.214,  0.892
  0.250,  0.861
  0.286,  0.789
  0.321,  0.860
  0.357,  0.800
  0.393,  0.846
  0.429,  0.834
  0.464,  0.830
  0.500,  0.830
