Imatest,3.7, Image Sensor, Stepchart
File,DSC01017.ARW
Run date,01-Dec-2022 20:27:59

Zones,21

Log exposure and analysis levels (Luminance (Y) channel for color images)
Zone,Pixel,Pixel/255,Log(exp),Log(px/255),Lux (patch)
14,  23.563,  33.174,  20.309,  20.163, 27.445, 30.416, 26.154, 26.091
15,  24.549,  35.960,  19.826,  20.794, 27.801, 31.116, 25.945, 26.359
16,  24.945,  36.653,  21.070,  21.363, 27.940, 31.282, 26.473, 26.593
17,  25.976,  38.018,  22.677,  21.285, 28.291, 31.600, 27.112, 26.561
18,  21.167,  33.763,  17.242,  16.793, 26.513, 30.569, 24.732, 24.502
19,  17.441,  29.151,  13.942,  13.938, 24.831, 29.293, 22.886, 22.884
20,  16.327,  28.858,  13.175,  12.952, 24.258, 29.205, 22.395, 22.246
21,  15.124,  25.923,  12.304,  12.027, 23.593, 28.274, 21.801, 21.603

SNR_BW (dB; RGBY), 36.6, 31.9, 32.1, 33.8,White-Black SNR (W-B density difference = 1.5), 20*log10((W-B)/(mid level noise))
Noise max f-stops,Quality,DR (f-stops)
,Total,6.64
,Distinct steps,6.64
1,Low,5.32
0.5,Medium,5.05
0.25,M-H,3.81
0.1,High,0.946

Gamma, 0.665,1/1.5
Exposure error (f-stops),-7.15
Density step, 0.1
ROI WxH pixels,2144,1424
Avg. noise (zones 2-15) RGBY %,  1.59,  2.78,  2.74,  2.29
Detected zones<0.98,20

Frequency (C/P),Noise power
  0.036,  1.000
  0.071,  0.874
  0.107,  0.955
  0.143,  0.898
  0.179,  0.916
  0.214,  0.934
  0.250,  0.947
  0.286,  0.866
  0.321,  0.854
  0.357,  0.960
  0.393,  0.926
  0.429,  0.842
  0.464,  0.909
  0.500,  0.909
